path	deprecated	experimental	chrome	chrome_android
api.ANGLE_instanced_arrays	false	false	32	30
api.ANGLE_instanced_arrays.drawArraysInstancedANGLE	false	false	30	30
api.ANGLE_instanced_arrays.drawElementsInstancedANGLE	false	false	30	30
api.ANGLE_instanced_arrays.vertexAttribDivisorANGLE	false	false	30	30
api.AbortController	false	false	66	66
api.AbortController.AbortController	false	false	66	66
api.AbortController.abort	false	false	66	66
api.AbortController.signal	false	false	66	66
api.AbortPaymentEvent	false	true	70	70
api.AbortPaymentEvent.AbortPaymentEvent	false	true	70	70
api.AbortPaymentEvent.respondWith	false	true	70	70
api.AbortSignal	false	false	66	66
api.AbortSignal.abort_event	false	false	66	66
api.AbortSignal.abort_static	false	false	93	93
api.AbortSignal.abort_static.reason_parameter	false	false	98	98
api.AbortSignal.aborted	false	false	66	66
api.AbortSignal.reason	false	false	98	98
api.AbortSignal.throwIfAborted	false	false	100	100
api.AbortSignal.timeout_static	false	false	103	103
api.AbsoluteOrientationSensor	false	false	67	67
api.AbsoluteOrientationSensor.AbsoluteOrientationSensor	false	false	67	67
api.AbstractRange	false	false	90	90
api.AbstractRange.collapsed	false	false	90	90
api.AbstractRange.endContainer	false	false	90	90
api.AbstractRange.endOffset	false	false	90	90
api.AbstractRange.startContainer	false	false	90	90
api.AbstractRange.startOffset	false	false	90	90
api.Accelerometer	false	true	67	67
api.Accelerometer.Accelerometer	false	true	67	67
api.Accelerometer.x	false	true	67	67
api.Accelerometer.y	false	true	67	67
api.Accelerometer.z	false	true	67	67
api.AmbientLightSensor	false	true	56	56
api.AmbientLightSensor.AmbientLightSensor	false	true	56	56
api.AmbientLightSensor.illuminance	false	true	56	56
api.AnalyserNode	false	false	14	18
api.AnalyserNode.AnalyserNode	false	false	55	55
api.AnalyserNode.fftSize	false	false	14	18
api.AnalyserNode.frequencyBinCount	false	false	14	18
api.AnalyserNode.getByteFrequencyData	false	false	14	18
api.AnalyserNode.getByteTimeDomainData	false	false	14	18
api.AnalyserNode.getFloatFrequencyData	false	false	14	18
api.AnalyserNode.getFloatTimeDomainData	false	false	35	35
api.AnalyserNode.maxDecibels	false	false	14	18
api.AnalyserNode.minDecibels	false	false	14	18
api.AnalyserNode.smoothingTimeConstant	false	false	14	18
api.Animation	false	false	75	75
api.Animation.Animation	false	false	75	75
api.Animation.cancel	false	false	75	75
api.Animation.cancel_event	false	false	75	75
api.Animation.commitStyles	false	false	84	84
api.Animation.currentTime	false	false	75	75
api.Animation.effect	false	false	75	75
api.Animation.finish	false	false	75	75
api.Animation.finish_event	false	false	75	75
api.Animation.finished	false	false	84	84
api.Animation.id	false	false	75	75
api.Animation.pause	false	false	75	75
api.Animation.pending	false	false	76	76
api.Animation.persist	false	false	84	84
api.Animation.play	false	false	75	75
api.Animation.playState	false	false	75	75
api.Animation.playbackRate	false	false	75	75
api.Animation.ready	false	false	84	84
api.Animation.remove_event	false	false	84	84
api.Animation.remove_filling_animation	false	false	84	84
api.Animation.replaceState	false	false	84	84
api.Animation.reverse	false	false	75	75
api.Animation.startTime	false	false	75	75
api.Animation.timeline	false	false	84	84
api.Animation.updatePlaybackRate	false	false	76	76
api.AnimationEffect	false	false	75	75
api.AnimationEffect.getComputedTiming	false	false	75	75
api.AnimationEffect.getTiming	false	false	75	75
api.AnimationEffect.updateTiming	false	false	75	75
api.AnimationEvent	false	false	43	43
api.AnimationEvent.AnimationEvent	false	false	43	43
api.AnimationEvent.animationName	false	false	43	43
api.AnimationEvent.elapsedTime	false	false	43	43
api.AnimationEvent.pseudoElement	false	false	68	68
api.AnimationPlaybackEvent	false	false	84	84
api.AnimationPlaybackEvent.AnimationPlaybackEvent	false	false	84	84
api.AnimationPlaybackEvent.currentTime	false	false	84	84
api.AnimationPlaybackEvent.timelineTime	false	false	84	84
api.AnimationTimeline	false	false	84	84
api.AnimationTimeline.currentTime	false	false	84	84
api.ApplicationCache	true	false	removed	removed
api.ApplicationCache.abort	true	false	removed	removed
api.ApplicationCache.cached_event	true	false	removed	removed
api.ApplicationCache.checking_event	true	false	removed	removed
api.ApplicationCache.downloading_event	true	false	removed	removed
api.ApplicationCache.error_event	true	false	removed	removed
api.ApplicationCache.noupdate_event	true	false	removed	removed
api.ApplicationCache.obsolete_event	true	false	removed	removed
